Commodity,Country,Category,YearNum,FoodValue
Liquors and liqueurs,MEXICO,Beverages,2003,461.7
Liquors and liqueurs,FRANCE,Beverages,2003,845.4
Liquors and liqueurs,UNITED KINGDOM,Beverages,2003,720.8
Liquors and liqueurs,CANADA,Beverages,2003,295.3
Liquors and liqueurs,NETHERLANDS,Beverages,2003,149.6
Liquors and liqueurs,IRELAND,Beverages,2003,219.9
Liquors and liqueurs,ITALY,Beverages,2003,84.2
Liquors and liqueurs,SWEDEN,Beverages,2003,324.8
"Bovine animals, live",CANADA,Animals,2004,0.1
"Bovine animals, live",MEXICO,Animals,2004,541
"Swine, live",CANADA,Animals,2004,529.4
"Sheep and goats, live",CANADA,Animals,2004,0
Live poultry,CANADA,Animals,2004,30.7
Bird eggs,CANADA,Animals,2004,24.7
Bird eggs,UNITED KINGDOM,Animals,2004,0.1
Bird eggs,NETHERLANDS,Animals,2004,0
Bird eggs,CHINA (MAINLAND),Animals,2004,2.8
Bird eggs,THAILAND,Animals,2004,0.5
Bird eggs,TURKEY,Animals,2004,0
Bird eggs,TAIWAN,Animals,2004,1.2
Fresh or chilled red meats,CANADA,Meats,2004,1787
Fresh or chilled red meats,MEXICO,Meats,2004,30.2
Fresh or chilled red meats,AUSTRALIA,Meats,2004,173.4
Fresh or chilled red meats,NICARAGUA,Meats,2004,16.5
Fresh or chilled red meats,NEW ZEALAND,Meats,2004,34.7
Fresh or chilled red meats,ARGENTINA,Meats,2004,0
Frozen red meats and parts,AUSTRALIA,Meats,2004,973.9
Frozen red meats and parts,NEW ZEALAND,Meats,2004,577.3
Frozen red meats and parts,BRAZIL,Meats,2004,0
Frozen red meats and parts,CANADA,Meats,2004,191
Frozen red meats and parts,MEXICO,Meats,2004,5.7
Frozen red meats and parts,URUGUAY,Meats,2004,260.9
Fowl and other meats,CHILE,Meats,2004,0
Fowl and other meats,CANADA,Meats,2004,73.4
Fowl and other meats,NEW ZEALAND,Meats,2004,9.9
Fowl and other meats,CHINA (MAINLAND),Meats,2004,7.9
Prepared meats,CANADA,Meats,2004,330.2
Prepared meats,BRAZIL,Meats,2004,194.8
Prepared meats,ITALY,Meats,2004,40.9
Prepared meats,MEXICO,Meats,2004,21.3
Prepared meats,URUGUAY,Meats,2004,13.3
Prepared meats,POLAND,Meats,2004,32.2
Prepared meats,SPAIN,Meats,2004,7
Prepared meats,NEW ZEALAND,Meats,2004,20
"Whole fish--fresh, chilled, or frozen",CANADA,Fish,2004,415
"Whole fish--fresh, chilled, or frozen",NORWAY,Fish,2004,20
"Whole fish--fresh, chilled, or frozen",CHILE,Fish,2004,49
"Whole fish--fresh, chilled, or frozen",MEXICO,Fish,2004,45.5
"Whole fish--fresh, chilled, or frozen",FAROE ISLANDS,Fish,2004,3
"Whole fish--fresh, chilled, or frozen",CHINA (MAINLAND),Fish,2004,68.1
Fish fillets and mince,CHILE,Fish,2004,551.7
Fish fillets and mince,CHINA (MAINLAND),Fish,2004,517
Fish fillets and mince,NORWAY,Fish,2004,46.5
Fish fillets and mince,VIETNAM,Fish,2004,78.2
Fish fillets and mince,INDONESIA,Fish,2004,72.6
Fish fillets and mince,CANADA,Fish,2004,294
"Shellfish, fresh or frozen",CANADA,Fish,2004,1059.8
"Shellfish, fresh or frozen",INDIA,Fish,2004,364.9
"Shellfish, fresh or frozen",ECUADOR,Fish,2004,206.3
"Shellfish, fresh or frozen",INDONESIA,Fish,2004,332.6
"Shellfish, fresh or frozen",VIETNAM,Fish,2004,281.8
"Shellfish, fresh or frozen",ARGENTINA,Fish,2004,18
"Shellfish, fresh or frozen",MEXICO,Fish,2004,349.4
"Shellfish, fresh or frozen",JAPAN,Fish,2004,35.7
Prepared fish and shellfish,THAILAND,Fish,2004,805.5
Prepared fish and shellfish,INDONESIA,Fish,2004,191
Prepared fish and shellfish,VIETNAM,Fish,2004,165.3
Prepared fish and shellfish,INDIA,Fish,2004,27.9
Prepared fish and shellfish,CANADA,Fish,2004,340.2
Prepared fish and shellfish,CHINA (MAINLAND),Fish,2004,312.5
Prepared fish and shellfish,ECUADOR,Fish,2004,135.7
Prepared fish and shellfish,MEXICO,Fish,2004,29.3
Fresh vegetables,MEXICO,Vegetables,2004,2184.7
Fresh vegetables,CANADA,Vegetables,2004,661.1
Fresh vegetables,PERU,Vegetables,2004,119.2
Fresh vegetables,GUATEMALA,Vegetables,2004,13.8
Fresh vegetables,COSTA RICA,Vegetables,2004,60.2
Fresh vegetables,CHINA (MAINLAND),Vegetables,2004,47.4
Frozen vegetables,MEXICO,Vegetables,2004,188.1
Frozen vegetables,CANADA,Vegetables,2004,82.6
Frozen vegetables,GUATEMALA,Vegetables,2004,42.7
Frozen vegetables,CHINA (MAINLAND),Vegetables,2004,29.9
Frozen vegetables,ECUADOR,Vegetables,2004,13.6
Frozen vegetables,BELGIUM,Vegetables,2004,9.7
Dried vegetables,CANADA,Vegetables,2004,68.5
Dried vegetables,CHINA (MAINLAND),Vegetables,2004,58.9
Dried vegetables,INDIA,Vegetables,2004,22.6
Dried vegetables,MEXICO,Vegetables,2004,24.9
Dried vegetables,NICARAGUA,Vegetables,2004,1.4
Prepared or preserved vegetables,CANADA,Vegetables,2004,673.8
Prepared or preserved vegetables,MEXICO,Vegetables,2004,207.9
Prepared or preserved vegetables,SPAIN,Vegetables,2004,299.8
Prepared or preserved vegetables,BELGIUM,Vegetables,2004,2.5
Prepared or preserved vegetables,PERU,Vegetables,2004,30.4
Prepared or preserved vegetables,CHINA (MAINLAND),Vegetables,2004,85.7
"Cheese, fresh or processed",ITALY,Dairy,2004,223.1
"Cheese, fresh or processed",FRANCE,Dairy,2004,131.2
"Cheese, fresh or processed",SPAIN,Dairy,2004,21.1
"Cheese, fresh or processed",NETHERLANDS,Dairy,2004,55.6
"Cheese, fresh or processed",SWITZERLAND,Dairy,2004,46.8
"Cheese, fresh or processed",IRELAND,Dairy,2004,21
"Cheese, fresh or processed",UNITED KINGDOM,Dairy,2004,33.3
"Yogurt, buttermilk, or whey",NEW ZEALAND,Dairy,2004,111.9
"Yogurt, buttermilk, or whey",CANADA,Dairy,2004,19.1
"Yogurt, buttermilk, or whey",FRANCE,Dairy,2004,1.7
"Yogurt, buttermilk, or whey",DENMARK,Dairy,2004,4.5
"Yogurt, buttermilk, or whey","GERMANY, FED. REPUBLIC",Dairy,2004,0.6
"Yogurt, buttermilk, or whey",MEXICO,Dairy,2004,0.4
"Yogurt, buttermilk, or whey",CHILE,Dairy,2004,0
Milk and cream,MEXICO,Dairy,2004,25.3
Milk and cream,CHILE,Dairy,2004,1.8
Milk and cream,NETHERLANDS,Dairy,2004,1.6
Milk and cream,CANADA,Dairy,2004,2.4
Milk and cream,NEW ZEALAND,Dairy,2004,10.9
Milk and cream,PERU,Dairy,2004,0
Butter or spreads,IRELAND,Dairy,2004,2.4
Butter or spreads,NEW ZEALAND,Dairy,2004,23
Butter or spreads,MEXICO,Dairy,2004,2
Butter or spreads,FRANCE,Dairy,2004,1.6
Butter or spreads,INDIA,Dairy,2004,0.6
Butter or spreads,CHILE,Dairy,2004,0.2
Fresh or chilled fruit,MEXICO,Fruits,2004,905.9
Fresh or chilled fruit,PERU,Fruits,2004,30.1
Fresh or chilled fruit,CHILE,Fruits,2004,879.5
Fresh or chilled fruit,GUATEMALA,Fruits,2004,346.2
Fresh or chilled fruit,COSTA RICA,Fruits,2004,472.6
Fresh or chilled fruit,ECUADOR,Fruits,2004,276.8
Fresh or chilled fruit,HONDURAS,Fruits,2004,170.3
Fresh or chilled fruit,COLOMBIA,Fruits,2004,166.4
Fresh or chilled fruit,CANADA,Fruits,2004,113.6
Fresh or chilled fruit,REPUBLIC OF SOUTH AFRICA,Fruits,2004,49
Bananas and plantains,GUATEMALA,Fruits,2004,271.9
Bananas and plantains,ECUADOR,Fruits,2004,251.2
Bananas and plantains,COSTA RICA,Fruits,2004,243.6
Bananas and plantains,COLOMBIA,Fruits,2004,165
Bananas and plantains,HONDURAS,Fruits,2004,128.6
Bananas and plantains,MEXICO,Fruits,2004,11.7
Frozen fruit,MEXICO,Fruits,2004,52.1
Frozen fruit,CANADA,Fruits,2004,80
Frozen fruit,CHILE,Fruits,2004,34.4
Frozen fruit,PERU,Fruits,2004,3.1
Frozen fruit,GUATEMALA,Fruits,2004,3.1
Frozen fruit,COSTA RICA,Fruits,2004,12.5
"Dried, prepared or preserved fruit",MEXICO,Fruits,2004,123.2
"Dried, prepared or preserved fruit",CHINA (MAINLAND),Fruits,2004,215
"Dried, prepared or preserved fruit",CANADA,Fruits,2004,76.8
"Dried, prepared or preserved fruit",THAILAND,Fruits,2004,204.7
"Dried, prepared or preserved fruit",SOUTH KOREA,Fruits,2004,8.9
"Dried, prepared or preserved fruit",CHILE,Fruits,2004,17.4
Fruit juices,BRAZIL,Fruits,2004,115.3
Fruit juices,MEXICO,Fruits,2004,66.9
Fruit juices,TURKEY,Fruits,2004,7.5
Fruit juices,THAILAND,Fruits,2004,26.2
Fruit juices,PHILIPPINES,Fruits,2004,51.9
Fruit juices,CANADA,Fruits,2004,43.3
Fruit juices,ARGENTINA,Fruits,2004,106.2
Fruit juices,CHINA (MAINLAND),Fruits,2004,166.2
Tree nuts,VIETNAM,Nuts,2004,170.3
Tree nuts,MEXICO,Nuts,2004,142.2
Tree nuts,PHILIPPINES,Nuts,2004,31.5
Tree nuts,CHINA (MAINLAND),Nuts,2004,52.5
Tree nuts,REPUBLIC OF SOUTH AFRICA,Nuts,2004,19.3
Tree nuts,BRAZIL,Nuts,2004,147.5
Tree nuts,THAILAND,Nuts,2004,3.9
Tree nuts,IVORY COAST,Nuts,2004,8.6
Tree nuts,KENYA,Nuts,2004,13.6
Cashew nuts,VIETNAM,Nuts,2004,167.3
Cashew nuts,IVORY COAST,Nuts,2004,0
Cashew nuts,BRAZIL,Nuts,2004,125
Cashew nuts,THAILAND,Nuts,2004,0.3
Cashew nuts,NIGERIA,Nuts,2004,0.1
Cashew nuts,INDIA,Nuts,2004,251.3
Cashew nuts,BENIN,Nuts,2004,0
Prepared tree nuts,VIETNAM,Nuts,2004,3.4
Prepared tree nuts,THAILAND,Nuts,2004,12.9
Prepared tree nuts,CANADA,Nuts,2004,8.8
Prepared tree nuts,MEXICO,Nuts,2004,1.2
Prepared tree nuts,INDIA,Nuts,2004,5.5
Prepared tree nuts,TURKEY,Nuts,2004,5.5
Prepared tree nuts,ISRAEL,Nuts,2004,2.3
Ground nuts,MEXICO,Nuts,2004,4.3
Ground nuts,CANADA,Nuts,2004,19.1
Ground nuts,ARGENTINA,Nuts,2004,2.9
Ground nuts,INDIA,Nuts,2004,2.3
Ground nuts,PARAGUAY,Nuts,2004,0
"Coffee beans, unroasted",BRAZIL,Coffee,2004,318.9
"Coffee beans, unroasted",COLOMBIA,Coffee,2004,386.5
"Coffee beans, unroasted",HONDURAS,Coffee,2004,42.6
"Coffee beans, unroasted",GUATEMALA,Coffee,2004,212.6
"Coffee beans, unroasted",NICARAGUA,Coffee,2004,51.8
"Coffee beans, unroasted",VIETNAM,Coffee,2004,111.4
"Coffee, roasted and instant",SWITZERLAND,Coffee,2004,2.4
"Coffee, roasted and instant",CANADA,Coffee,2004,81.1
"Coffee, roasted and instant",ITALY,Coffee,2004,25.9
"Coffee, roasted and instant",COLOMBIA,Coffee,2004,5.3
"Coffee, roasted and instant",MEXICO,Coffee,2004,10.1
Coffee extracts and preparations,MEXICO,Coffee,2004,35.9
Coffee extracts and preparations,COLOMBIA,Coffee,2004,13.8
Coffee extracts and preparations,BRAZIL,Coffee,2004,31.5
Coffee extracts and preparations,INDIA,Coffee,2004,0.5
Tea and mate,JAPAN,Coffee,2004,5.7
Tea and mate,CHINA (MAINLAND),Coffee,2004,38.4
Tea and mate,CANADA,Coffee,2004,62.9
Tea and mate,INDIA,Coffee,2004,28.5
Spices,INDIA,Coffee,2004,54.1
Spices,VIETNAM,Coffee,2004,28.9
Spices,CHINA (MAINLAND),Coffee,2004,54.7
Spices,MADAGASCAR (MALAGASY),Coffee,2004,134.2
Spices,MEXICO,Coffee,2004,26.2
Spices,SPAIN,Coffee,2004,17.7
Spices,PERU,Coffee,2004,16.8
Spices,INDONESIA,Coffee,2004,72.8
Bulk grains,CANADA,Grains,2004,399.7
Bulk grains,THAILAND,Grains,2004,160.2
Bulk grains,INDIA,Grains,2004,37.1
Bulk grains,"GERMANY, FED. REPUBLIC",Grains,2004,4.2
Bulk grains,POLAND,Grains,2004,0.1
Bulk grains,ARGENTINA,Grains,2004,10
Bulk grains,BRAZIL,Grains,2004,0.2
Wheat and products,CANADA,Grains,2004,273.7
Wheat and products,AUSTRALIA,Grains,2004,26
Wheat and products,POLAND,Grains,2004,16.1
Wheat and products,"GERMANY, FED. REPUBLIC",Grains,2004,16.1
Rice and products,THAILAND,Grains,2004,162.8
Rice and products,INDIA,Grains,2004,37.4
Rice and products,PAKISTAN,Grains,2004,12.4
Rice and products,CHINA (MAINLAND),Grains,2004,15.4
Milled grain products,CANADA,Grains,2004,248.9
Milled grain products,AUSTRALIA,Grains,2004,27.3
Milled grain products,MEXICO,Grains,2004,28
Milled grain products,"GERMANY, FED. REPUBLIC",Grains,2004,27.3
Milled grain products,TURKEY,Grains,2004,0.1
Milled grain products,THAILAND,Grains,2004,8
Milled grain products,NETHERLANDS,Grains,2004,41.2
Cereal and bakery foods,CANADA,Grains,2004,1460.5
Cereal and bakery foods,MEXICO,Grains,2004,262.3
Cereal and bakery foods,ITALY,Grains,2004,227.2
Cereal and bakery foods,SOUTH KOREA,Grains,2004,63.8
Cereal and bakery foods,FRANCE,Grains,2004,55.9
Cereal and bakery foods,THAILAND,Grains,2004,38.3
Cereal and bakery foods,"GERMANY, FED. REPUBLIC",Grains,2004,75.7
Crude vegetable oils,CANADA,VegetablesOil,2004,59.6
Crude vegetable oils,PHILIPPINES,VegetablesOil,2004,145.8
Crude vegetable oils,ARGENTINA,VegetablesOil,2004,35
Crude vegetable oils,MEXICO,VegetablesOil,2004,11.2
Crude vegetable oils,INDONESIA,VegetablesOil,2004,17.8
Crude vegetable oils,SPAIN,VegetablesOil,2004,0
Refined vegetable oils,CANADA,VegetablesOil,2004,301.6
Refined vegetable oils,INDONESIA,VegetablesOil,2004,32.9
Refined vegetable oils,ITALY,VegetablesOil,2004,484.6
Refined vegetable oils,SPAIN,VegetablesOil,2004,126.2
Refined vegetable oils,MEXICO,VegetablesOil,2004,18.8
Refined vegetable oils,TURKEY,VegetablesOil,2004,27.9
Olive oil,SPAIN,VegetablesOil,2004,124
Olive oil,ITALY,VegetablesOil,2004,480.3
Olive oil,TUNISIA,VegetablesOil,2004,39.3
Olive oil,TURKEY,VegetablesOil,2004,27.7
Olive oil,GREECE,VegetablesOil,2004,12.5
Tropical oils,INDONESIA,VegetablesOil,2004,50.6
Tropical oils,PHILIPPINES,VegetablesOil,2004,201.8
Tropical oils,MALAYSIA,VegetablesOil,2004,260.7
Tropical oils,COLOMBIA,VegetablesOil,2004,2.3
Tropical oils,SRI LANKA,VegetablesOil,2004,0
Tropical oils,MEXICO,VegetablesOil,2004,0
Oilseeds,CANADA,VegetablesOil,2004,200.8
Oilseeds,BRAZIL,VegetablesOil,2004,6.3
Oilseeds,ARGENTINA,VegetablesOil,2004,7.9
Oilseeds,CHILE,VegetablesOil,2004,1.6
Oilseeds,INDIA,VegetablesOil,2004,36.8
Oilseeds,BULGARIA,VegetablesOil,2004,0.1
"Sugar, cane and beet",MEXICO,Sweets,2004,30
"Sugar, cane and beet",BRAZIL,Sweets,2004,67.4
"Sugar, cane and beet",GUATEMALA,Sweets,2004,73.5
"Sugar, cane and beet",EL SALVADOR,Sweets,2004,26.9
"Sugar, cane and beet",COLOMBIA,Sweets,2004,40.1
"Sugar, cane and beet",DOMINICAN REPUBLIC,Sweets,2004,74.1
"Sugar, cane and beet",AUSTRALIA,Sweets,2004,47.4
Other sweeteners and syrups,CANADA,Sweets,2004,178.3
Other sweeteners and syrups,MEXICO,Sweets,2004,18.1
Other sweeteners and syrups,INDIA,Sweets,2004,10.8
Other sweeteners and syrups,ARGENTINA,Sweets,2004,7.1
Other sweeteners and syrups,BRAZIL,Sweets,2004,14.9
Other sweeteners and syrups,NEW ZEALAND,Sweets,2004,0.7
Confections,MEXICO,Sweets,2004,259.4
Confections,CANADA,Sweets,2004,380.7
Confections,"GERMANY, FED. REPUBLIC",Sweets,2004,26.2
Confections,TURKEY,Sweets,2004,6
Confections,SPAIN,Sweets,2004,23.7
Confections,CHINA (MAINLAND),Sweets,2004,65.6
Confections,SWITZERLAND,Sweets,2004,13.7
Confections,THAILAND,Sweets,2004,14.3
Cocoa beans,IVORY COAST,Cocoa,2004,395.1
Cocoa beans,ECUADOR,Cocoa,2004,48.5
Cocoa beans,GHANA,Cocoa,2004,7.9
Cocoa beans,DOMINICAN REPUBLIC,Cocoa,2004,33.8
Cocoa beans,PAPUA NEW GUINEA,Cocoa,2004,20.1
Cocoa beans,NIGERIA,Cocoa,2004,1.4
"Cocoa paste, butter, and powder",IVORY COAST,Cocoa,2004,62.4
"Cocoa paste, butter, and powder",INDONESIA,Cocoa,2004,62
"Cocoa paste, butter, and powder",MALAYSIA,Cocoa,2004,109.5
"Cocoa paste, butter, and powder",NETHERLANDS,Cocoa,2004,149.3
"Cocoa paste, butter, and powder",GHANA,Cocoa,2004,10
"Cocoa paste, butter, and powder",ECUADOR,Cocoa,2004,11.8
"Cocoa paste, butter, and powder",CANADA,Cocoa,2004,16.1
"Cocoa paste, butter, and powder",SPAIN,Cocoa,2004,9.8
Chocolate,CANADA,Cocoa,2004,705.2
Chocolate,MEXICO,Cocoa,2004,74.8
Chocolate,BELGIUM,Cocoa,2004,67.8
Chocolate,"GERMANY, FED. REPUBLIC",Cocoa,2004,43.7
Chocolate,POLAND,Cocoa,2004,8.1
Chocolate,ITALY,Cocoa,2004,16.1
Chocolate,SWITZERLAND,Cocoa,2004,32.6
Chocolate,CROATIA,Cocoa,2004,1.2
"Sauces, soups, prepared foods",SINGAPORE,Other,2004,5.3
"Sauces, soups, prepared foods",CANADA,Other,2004,669.4
"Sauces, soups, prepared foods",ITALY,Other,2004,117.6
"Sauces, soups, prepared foods",MEXICO,Other,2004,190.7
"Sauces, soups, prepared foods",CHINA (MAINLAND),Other,2004,55.6
