longitude,latitude
0.072507,51.529275
-0.184457,51.440668
-0.217343,51.553848
0.081585,51.527909
-0.121536,51.604536
-0.076098,51.584547
-0.126765,51.506197
-0.03877,51.52921
-0.095903,51.59487
0.160085,51.541876
-0.348312,51.581114
-0.183919,51.345356
-0.239189,51.595129
-0.181388,51.528378
-0.085533,51.44752
0.030289,51.595605
-0.334878,51.611812
0.000882,51.4839
-0.331172,51.502477
-0.047877,51.659969
-0.288761,51.41106
0.117621,51.582416
-0.066814,51.411979
-0.120638,51.538481
-0.262439,51.519661
-0.033526,51.356596
-0.420855,51.503134
-0.061884,51.515206
-0.37035,51.414327
0.120142,51.43425
-0.261273,51.541189
-0.096943,51.490133
0.002651,51.388133
-0.237079,51.529903
-0.247816,51.54839
-0.098924,51.568508
-0.197264,51.491053
0.007369,51.62688
0.132085,51.562083
-0.063946,51.472678
-0.212816,51.459889
-0.036169,51.486784
-0.191496,51.479202
-0.204997,51.455921
-0.460545,51.457504
0.175386,51.458076
-0.049709,51.6375
-0.167577,51.460836
0.032354,51.537693
-0.040113,51.591218
0.068126,51.468858
-0.282806,51.502021
-0.236906,51.464552
-0.009579,51.517864
0.025057,51.412838
-0.117596,51.524818
-0.025301,51.503939
-0.361497,51.565238
-0.155163,51.601473
-0.092693,51.395857
-0.14,51.447974
-0.1016,51.477538
-0.074825,51.443091
-0.110394,51.404795
-0.017007,51.578132
0.130699,51.536739
-0.169533,51.523095
-0.210975,51.470895
-0.086099,51.605546
-0.260173,51.49212
0.012617,51.486128
-0.208225,51.416844
0.079261,51.526269
0.074,51.438988
-0.185026,51.533686
0.044865,51.550101
0.01154,51.407288
-0.372903,51.477678
-0.447698,51.530271
-0.352567,51.471342
0.177352,51.480315
-0.391735,51.571061
-0.099486,51.538087
-0.025884,51.42707
-0.098517,51.575507
-0.112756,51.567275
0.006418,51.536827
-0.090061,51.466254
-0.048032,51.476119
-0.091578,51.549253
-0.126459,51.504169
0.077449,51.545347
-0.063347,51.526588
-0.067546,51.613605
-0.04479,51.538096
0.121204,51.496579
-0.128587,51.420887
-0.109585,51.50246
0.220473,51.557071
-0.275249,51.508313
-0.126089,51.551464
-0.112475,51.487255
-0.416756,51.517466
-0.23235,51.582356
-0.04532,51.456676
-0.224876,51.492598
-0.037536,51.432788
-0.072825,51.572507
-0.447887,51.551837
-0.45983,51.526196
-0.203382,51.532934
-0.136746,51.526095
-0.381837,51.583235
-0.359712,51.594789
-0.085603,51.427944
-0.250354,51.488961
-0.241132,51.506646
0.114675,51.563099
-0.149647,51.358812
-0.127692,51.528568
-0.106842,51.490419
-0.249735,51.551368
-0.047271,51.65691
-0.081857,51.590028
-0.003849,51.424359
-0.069388,51.396276
0.059018,51.520142
-0.073695,51.598689
-0.109074,51.597565
-0.463954,51.499606
0.060627,51.555131
0.100968,51.425261
-0.138082,51.61203
