name,date,value
demandForecast,2024-04-08T04:00Z,392638.8
demandActual,2024-04-08T04:00Z,396564.85
netGeneration,2024-04-08T03:00Z,412686.46
demandForecast,2024-04-08T03:00Z,406821.2
demandActual,2024-04-08T03:00Z,412046.46
totalInterchange,2024-04-08T03:00Z,1070
totalInterchange,2024-04-08T02:00Z,-13
demandForecast,2024-04-08T02:00Z,416518.5
demandActual,2024-04-08T02:00Z,423130.37
netGeneration,2024-04-08T02:00Z,423367.37
totalInterchange,2024-04-08T01:00Z,1190
demandForecast,2024-04-08T01:00Z,418085.2
demandActual,2024-04-08T01:00Z,425552
netGeneration,2024-04-08T01:00Z,425691
demandForecast,2024-04-08,412894.5
netGeneration,2024-04-08,419635.86
demandActual,2024-04-08,420083.86
totalInterchange,2024-04-08,1150
demandActual,2024-04-07T23:00Z,415099.83
totalInterchange,2024-04-07T23:00Z,1406
demandForecast,2024-04-07T23:00Z,405576.8
netGeneration,2024-04-07T23:00Z,415372.83
totalInterchange,2024-04-07T22:00Z,2168
netGeneration,2024-04-07T22:00Z,408583.76
demandActual,2024-04-07T22:00Z,407196.76
demandForecast,2024-04-07T22:00Z,398019.8
netGeneration,2024-04-07T21:00Z,401357.21
totalInterchange,2024-04-07T21:00Z,2809
demandForecast,2024-04-07T21:00Z,390203.7
demandActual,2024-04-07T21:00Z,398912.21
demandActual,2024-04-07T20:00Z,393976.31
netGeneration,2024-04-07T20:00Z,395969.31
totalInterchange,2024-04-07T20:00Z,2687
demandForecast,2024-04-07T20:00Z,384288.8
totalInterchange,2024-04-07T19:00Z,2615
demandForecast,2024-04-07T19:00Z,381647.8
netGeneration,2024-04-07T19:00Z,394309.05
demandActual,2024-04-07T19:00Z,393214.05
demandActual,2024-04-07T18:00Z,392576.75
netGeneration,2024-04-07T18:00Z,394124.75
demandForecast,2024-04-07T18:00Z,382933
totalInterchange,2024-04-07T18:00Z,2786
netGeneration,2024-04-07T17:00Z,395632.06
demandActual,2024-04-07T17:00Z,393999.06
demandForecast,2024-04-07T17:00Z,385763.2
totalInterchange,2024-04-07T17:00Z,2785
demandActual,2024-04-07T16:00Z,394314.83
demandForecast,2024-04-07T16:00Z,388713.4
totalInterchange,2024-04-07T16:00Z,1857
netGeneration,2024-04-07T16:00Z,393298.83
netGeneration,2024-04-07T15:00Z,394509.44
demandForecast,2024-04-07T15:00Z,390599.8
demandActual,2024-04-07T15:00Z,394717.44
totalInterchange,2024-04-07T15:00Z,1636
netGeneration,2024-04-07T14:00Z,393498.53
demandForecast,2024-04-07T14:00Z,390974.5
demandActual,2024-04-07T14:00Z,391919.53
totalInterchange,2024-04-07T14:00Z,2134
netGeneration,2024-04-07T13:00Z,390469.55
demandForecast,2024-04-07T13:00Z,386645
totalInterchange,2024-04-07T13:00Z,1767
demandActual,2024-04-07T13:00Z,389323.55
demandForecast,2024-04-07T12:00Z,379346.9
demandActual,2024-04-07T12:00Z,384852.46
netGeneration,2024-04-07T12:00Z,384711.46
totalInterchange,2024-04-07T12:00Z,1123
demandForecast,2024-04-07T11:00Z,370764.7
demandActual,2024-04-07T11:00Z,376574.84
netGeneration,2024-04-07T11:00Z,377364.84
totalInterchange,2024-04-07T11:00Z,1477
totalInterchange,2024-04-07T10:00Z,2096
netGeneration,2024-04-07T10:00Z,370900.46
demandActual,2024-04-07T10:00Z,369846.46
demandForecast,2024-04-07T10:00Z,363510.5
demandActual,2024-04-07T09:00Z,367092.83
demandForecast,2024-04-07T09:00Z,359512
totalInterchange,2024-04-07T09:00Z,2721
netGeneration,2024-04-07T09:00Z,368850.83
demandForecast,2024-04-07T08:00Z,359781.3
netGeneration,2024-04-07T08:00Z,368155.26
demandActual,2024-04-07T08:00Z,367618.26
totalInterchange,2024-04-07T08:00Z,2579
netGeneration,2024-04-07T07:00Z,373976.53
totalInterchange,2024-04-07T07:00Z,3296
demandActual,2024-04-07T07:00Z,372244.53
